# Transport data with three-body reactions for N2/O2 mixtures (80% N2, 20% O2)
# 
# Column 1:  Electric field (E/N)
# Column 2:  Electron temperature (eV)
# Column 3:  Electron mobility (mu*N) 
# Column 4:  Electron diffusion (D*N) 
# Column 5:  Rate for e + N2 ->[k1] e + N2+
# Column 6:  Rate for e + O2 ->[k2] e + O2+
# Column 7:  Rate for e + O2 ->[k3] O- + O
# Column 8:  Rate for e + O2 ->[k4] O2-(exc)
# Column 9:  Rate for O2-(exc) ->[k5] e + O2
# Column 10: Rate for O2-(exc) + O2 ->[k6] O2- + O2
# Column 11: Rate for e + N2 ->[k7] e + N2(1PN2)
# Column 12: Three-body rate k4*k6/k5
# 
# With the exception of k5, all rates are given in m^3/s, i.e. they must be multiplied by the concentration of the neutral on the left-hand side of the reaction.
# Note that k4 was reverse engineered from Kossyi et. al (eq. 45), and depends on the electron temperature.
# In this data the temperature was computed using 80% N2 and 20%O2
# 
1.402053253936559685e+01 9.963455384094022094e-01 1.814978698425376195e+24 1.888000000000000067e+24 0.000000000000000000e+00 0.000000000000000000e+00 1.245499161250592087e-25 6.944297537525435110e-18 1.000000000000000000e+10 1.000000000000000078e-15 1.192987302809241905e-26 6.944297537525436287e-43
1.410694442114840719e+01 9.972442219799434460e-01 1.811522223154063955e+24 1.888000000000000067e+24 0.000000000000000000e+00 0.000000000000000000e+00 1.423853285250312648e-25 6.938607387589357485e-18 1.000000000000000000e+10 1.000000000000000078e-15 1.379153060922128593e-26 6.938607387589358386e-43
1.419388887994227666e+01 9.980929486456876498e-01 1.808173077232767493e+24 1.888091880307470419e+24 0.000000000000000000e+00 0.000000000000000000e+00 1.623553392755013490e-25 6.933242060008969270e-18 1.000000000000000000e+10 1.000000000000000078e-15 1.590066211203231150e-26 6.933242060008969835e-43
1.428136919814618899e+01 9.987995204465653920e-01 1.805144912371862672e+24 1.888428343069792998e+24 0.000000000000000000e+00 0.000000000000000000e+00 1.878255703833327551e-25 6.928781675303889978e-18 1.000000000000000000e+10 1.000000000000000078e-15 1.864956288020909669e-26 6.928781675303889815e-43
1.436938867838932232e+01 9.995104470177599287e-01 1.802098084209600449e+24 1.888766879532266727e+24 0.000000000000000000e+00 0.000000000000000000e+00 2.134527805925835203e-25 6.924299559948233084e-18 1.000000000000000000e+10 1.000000000000000078e-15 2.141540577861832840e-26 6.924299559948233268e-43
1.445795064365575833e+01 1.000322507426797181e+00 1.799032477719608202e+24 1.889000000000000090e+24 0.000000000000000000e+00 0.000000000000000000e+00 2.429037718207780413e-25 6.919186889662990005e-18 1.000000000000000000e+10 1.000000000000000078e-15 3.029261056735578921e-26 6.919186889662990069e-43
1.454705843740991966e+01 1.001350674277806663e+00 1.795947977166579562e+24 1.889000000000000090e+24 0.000000000000000000e+00 0.000000000000000000e+00 2.805346785677277402e-25 6.912724397444613134e-18 1.000000000000000000e+10 1.000000000000000078e-15 5.252157788618236377e-26 6.912724397444613418e-43
1.463671542372279255e+01 1.002385177966032215e+00 1.792844466101903216e+24 1.889000000000000090e+24 0.000000000000000000e+00 0.000000000000000000e+00 3.183975135567794857e-25 6.906234187679467064e-18 1.000000000000000000e+10 1.000000000000000078e-15 7.488754762561675605e-26 6.906234187679467663e-43
1.472692498739894695e+01 1.003273518425177313e+00 1.789769167086701616e+24 1.889136759212588797e+24 0.000000000000000000e+00 0.000000000000000000e+00 3.621660575575418425e-25 6.900670638632791108e-18 1.000000000000000000e+10 1.000000000000000078e-15 9.456939041214376898e-26 6.900670638632791477e-43
1.481769053410427972e+01 1.003945855808179743e+00 1.786743648863190683e+24 1.889472927904089982e+24 0.000000000000000000e+00 0.000000000000000000e+00 4.144402890859832000e-25 6.896465812475811171e-18 1.000000000000000000e+10 1.000000000000000078e-15 1.102751916790812708e-25 6.896465812475811232e-43
