-----------
Timer report 0 (1569 timers)
--------------
[0] main 44.8864 100.0% 1 
   [1] DiffusionSolver::run 44.4793 99.1% 1 
      [2] DiffusionSolver::advance 44.0272 98.1% 150 
         [3] EBBackwardEuler::solveHelm 43.4839 96.9% 150 
                                             [476] BaseEBCellFAB::regcopy 0.0399  0.1% 443940 
                                    [457] LevelData<T>::define(dbl,comps,ghost,factory) 0.0452  0.1% 9060 
                                    [589] ~LayoutData 0.0186  0.0% 18120 
                                    [1049] ~Copier 0.0013  0.0% 9060 
                                    [1290] ~BoxLayoutData 0.0002  0.0% 9060 
                                    [1305] ~LevelData 0.0001  0.0% 9060 
                                 [1324] inhomogeneous_cfbcs_define 0.0001  0.0% 4530 
                                 [1561] homogeneous_cfbs 0.0000  0.0% 0 
                           [102] EBAMRPoissonOp::applyOpNoCFBCs 0.6891  1.5% 4530 
                              [177] regular_apply 0.2222  0.5% 183465 
                                 [182] EBAMRPoissonOp::applyOpRegularAllDirs 0.2133  0.5% 183465 
                                    [263] FORT_REGGET1DLAPLACIAN_INPLACE 0.1204  0.3% 183465 
                                    [360] EBAMRPoissonOp::applyDomainFlux 0.0790  0.2% 183465 
                                       [404] EBArith::loHi 0.0610  0.1% 366930 
                              [186] irregular_apply 0.2030  0.5% 183465 
                                 [197] EBStencil::apply_alpha_beta 0.1920  0.4% 183465 
                                    [213] apply_alpha_beta_loop_overvofs 0.1631  0.4% 183465 
                                    [687] apply_alpha_beta_header 0.0108  0.0% 183465 
                              [211] alpha_apply 0.1679  0.4% 183465 
                                 [298] BaseEBCellFAB::copy 0.0991  0.2% 183465 
                                    [329] overlap_copy 0.0904  0.2% 183465 
                                       [361] BaseEBCellFAB::copy 0.0788  0.2% 183465 
                                          [424] BaseEBCellFAB::regcopy 0.0560  0.1% 183465 
                                    [1562] sameregion_copy 0.0000  0.0% 0 
                                 [479] FORT_MULTIPLYFABR 0.0378  0.1% 183465 
                              [481] dom_bcs_apply 0.0371  0.1% 183465 
                              [933] eb_bcs_apply 0.0026  0.0% 183465 
                           [259] exchange+copier 0.1210  0.3% 4530 
                              [262] exchange 0.1205  0.3% 4530 
                                 [264] local copying 0.1203  0.3% 4530 
                                    [303] BaseEBCellFAB::copy 0.0979  0.2% 457530 
                                       [442] BaseEBCellFAB::regcopy 0.0497  0.1% 457530 
                        [86] LevelData<T>::define(dbl,comps,ghost,factory) 0.9229  2.1% 4530 
                        [317] ~LayoutData 0.0943  0.2% 9060 
                        [383] FORT_SCALEADDTWOFAB 0.0683  0.2% 183465 
                        [1092] ~Copier 0.0009  0.0% 4530 
                        [1239] EBISLayoutImplem::~EBISLayoutImplem 0.0003  0.0% 4530 
                        [1306] ~LevelData 0.0001  0.0% 4530 
                        [1345] ~BoxLayoutData 0.0001  0.0% 4530 
                     [23] Multigrid::oneCycle 3.1384  7.0% 2265 
